kind	path	symbol	overload_ordinal	planned_owner	disposition
function	dev/src/lowering/abi/symbol_names.cpp	NormalizeSymbolName	1	dev/src/lowering/abi/symbol_names.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	AddSyntheticSymbol	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	ArrayElementType	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	BaseEntityForType	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	BeginSyntheticFunction	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	Children	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	ClassEntity	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	CollectSourceNames	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	CreateGeneratedSlot	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	CurrentBlock	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	Emit	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	EmitTop	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	EndSyntheticFunction	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	EnsureGeneratedSlot	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	ExpressionObjectType	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	GeneratedSlotName	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	InternSymbol	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	IsArrayType	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	IsClassObjectType	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	IsComplexObjectType	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	IsFunctionType	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	IsPointerLikeType	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	IsReferenceType	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	Lower	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	LowerBoundaryResult	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	LowerDeclaration	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	LowerExpressionType	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	LowerFunction	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	LowerGlobal	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	LowerGlobalDeclaration	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	LowerStorageType	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	LowerType	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	NewLabel	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	NewTemp	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	NullPointerExpectation	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	OrderLifecycleBaseEntries	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	PointeeType	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	ProgramLowerer	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	RecordLifecycleBaseEntry	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	RegisterFunction	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	RemoveReference	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	RemoveTopQualifiers	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	ResetCommonFunctionLoweringState	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	ScanTop	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	Temp	1	dev/src/lowering/core/program_lowerer.cpp	keep
method	dev/src/lowering/core/program_lowerer.cpp	UniqueSlotName	1	dev/src/lowering/core/program_lowerer.cpp	keep
struct	dev/src/lowering/api.h	Source	1	dev/src/lowering/api.h	keep
struct	dev/src/lowering/api.h	Stats	1	dev/src/lowering/api.h	keep
struct	dev/src/lowering/constants/templates.h	Entry	1	dev/src/lowering/constants/templates.h	keep
struct	dev/src/lowering/control/statements.h	ExceptionControlTarget	1	dev/src/lowering/control/statements.h	keep
struct	dev/src/lowering/control/statements.h	ExceptionRegionState	1	dev/src/lowering/control/statements.h	keep
struct	dev/src/lowering/control/statements.h	StatementTask	1	dev/src/lowering/control/statements.h	keep
struct	dev/src/lowering/core/reachability.h	Summary	1	dev/src/lowering/core/reachability.h	keep
struct	dev/src/lowering/extensions/initializer_lists.h	InitializerListLoweringState	1	dev/src/lowering/extensions/initializer_lists.h	keep
struct	dev/src/lowering/ir/model.h	IdentityPathHash	1	dev/src/lowering/ir/model.h	keep
struct	dev/src/lowering/ir/model.h	IdentityPathKey	1	dev/src/lowering/ir/model.h	keep
struct	dev/src/lowering/ir/model.h	IdentityTypeHash	1	dev/src/lowering/ir/model.h	keep
struct	dev/src/lowering/ir/model.h	IdentityTypeKey	1	dev/src/lowering/ir/model.h	keep
struct	dev/src/lowering/ir/model.h	ObjectAlias	1	dev/src/lowering/ir/model.h	keep
struct	dev/src/lowering/ir/model.h	PendingType	1	dev/src/lowering/ir/model.h	keep
struct	dev/src/lowering/ir/model.h	Program	1	dev/src/lowering/ir/model.h	keep
struct	dev/src/lowering/ir/model.h	SymbolIdentity	1	dev/src/lowering/ir/model.h	keep
struct	dev/src/lowering/ir/model.h	SymbolIdentityHash	1	dev/src/lowering/ir/model.h	keep
struct	dev/src/lowering/ir/types.h	Block	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	BlockIdTag	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	BlockPresentationName	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	DataItem	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	DynamicInitializer	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	Function	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	FunctionDeclaration	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	Global	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	GlobalDeclaration	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	Instruction	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	LowType	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	Operand	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	Parameter	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	ParameterIdTag	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	Slot	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	SlotIdTag	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	Symbol	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	SymbolIdTag	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/ir/types.h	TempIdTag	1	dev/src/lowering/ir/types.h	keep
struct	dev/src/lowering/objects/cleanup_continuations.h	Action	1	dev/src/lowering/objects/cleanup_continuations.h	keep
struct	dev/src/lowering/objects/cleanup_continuations.h	ActionKey	1	dev/src/lowering/objects/cleanup_continuations.h	keep
struct	dev/src/lowering/objects/cleanup_continuations.h	ActionSlot	1	dev/src/lowering/objects/cleanup_continuations.h	keep
struct	dev/src/lowering/objects/cleanup_continuations.h	Key	1	dev/src/lowering/objects/cleanup_continuations.h	keep
struct	dev/src/lowering/objects/cleanup_continuations.h	Slot	1	dev/src/lowering/objects/cleanup_continuations.h	keep
struct	dev/src/lowering/objects/cleanup_continuations.h	State	1	dev/src/lowering/objects/cleanup_continuations.h	keep
struct	dev/src/lowering/objects/member_function_pointers.h	MemberPointerCallOperands	1	dev/src/lowering/objects/member_function_pointers.h	keep
struct	dev/src/lowering/objects/polymorphism.h	PolymorphismLoweringState	1	dev/src/lowering/objects/polymorphism.h	keep
struct	dev/src/lowering/objects/polymorphism.h	VtableThunkLoweringFact	1	dev/src/lowering/objects/polymorphism.h	keep
struct	dev/src/lowering/objects/virtual_bases.h	VirtualBaseBoundaryFact	1	dev/src/lowering/objects/virtual_bases.h	keep
struct	dev/src/lowering/objects/virtual_bases.h	VirtualBaseContractState	1	dev/src/lowering/objects/virtual_bases.h	keep
struct	dev/src/lowering/objects/virtual_bases.h	VirtualBaseParameterContract	1	dev/src/lowering/objects/virtual_bases.h	keep
struct	dev/src/lowering/presentation/local_names.h	LocalPresentationCounters	1	dev/src/lowering/presentation/local_names.h	keep
